"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0016021","integral component of membrane",1107,171,117.13,1,"3.3e-07","1.5e-09","0.8077","0.860"
"GO:0005887","integral component of plasma membrane",366,58,38.73,2,"0.00072","0.00072","0.3519","0.589"
"GO:0033391","chromatoid body",5,3,0.53,3,"0.00999","0.00999","0.9920","0.992"
"GO:0002141","stereocilia ankle link",2,2,0.21,4,"0.01117","0.01117","0.9983","0.998"
"GO:0002142","stereocilia ankle link complex",2,2,0.21,5,"0.01117","0.01117","0.9983","0.998"
"GO:0002139","stereocilia coupling link",2,2,0.21,6,"0.01117","0.01117","0.9983","0.998"
"GO:0098862","cluster of actin-based cell projections",37,9,3.92,7,"0.01278","0.01278","0.9695","0.969"
"GO:0005886","plasma membrane",1161,154,122.85,8,"0.02043","0.00033","0.0023","0.894"
"GO:0043197","dendritic spine",90,16,9.52,9,"0.02488","0.02488","0.0757","0.076"
"GO:0032421","stereocilium bundle",12,4,1.27,10,"0.03068","0.03068","0.9901","0.990"
