"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0016021","integral component of membrane",1107,171,117.13,1,"1.5e-09","3.3e-07","0.8077","0.86"
"GO:0031224","intrinsic component of membrane",1143,173,120.94,2,"6.4e-09","0.83625","0.7685","0.87"
"GO:0044425","membrane part",1507,207,159.46,3,"4.4e-07","0.45030","0.1345","1.00"
"GO:0016020","membrane",1977,249,209.19,4,"2.7e-05","0.41207","0.0043","1.00"
"GO:0005886","plasma membrane",1161,154,122.85,5,"0.00033","0.02043","0.0023","0.89"
"GO:0005887","integral component of plasma membrane",366,58,38.73,6,"0.00072","0.00072","0.3519","0.59"
"GO:0071944","cell periphery",1206,157,127.61,7,"0.00073","0.03476","0.0037","0.91"
"GO:0031226","intrinsic component of plasma membrane",383,59,40.53,8,"0.00134","0.83563","0.3926","0.67"
"GO:0033391","chromatoid body",5,3,0.53,9,"0.00999","0.00999","0.9920","0.99"
"GO:0002139","stereocilia coupling link",2,2,0.21,10,"0.01117","0.01117","0.9983","1.00"
